"original","country","type","idREZE","department","apYear","apSerie","apID","date","journal"
"92150, EFF, 2021X 005909, 092","France","EFF","2021X005909",92,"2021X","005","909",2021-08-05,"0180"
"Tunisie, NAT, 2021X 005909, 092","Tunisie","NAT","2021X005909",92,"2021X","005","909",2021-08-05,"0180"
"91260, NAT, 2021X 003593, 092","France","NAT","2021X003593",92,"2021X","003","593",2021-08-05,"0180"
"Tunisie, EFF, 2021X 003593, 092","Tunisie","EFF","2021X003593",92,"2021X","003","593",2021-08-05,"0180"
"Tunisie, EFF, 2021X 003593, 092","Tunisie","EFF","2021X003593",92,"2021X","003","593",2021-08-05,"0180"
"Algérie, EFF, 2021X 303265, 001","Algérie","EFF","2021X303265",1,"2021X","303","265",2021-08-05,"0180"
"Algérie, NAT, 2021X 303265, 001","Algérie","NAT","2021X303265",1,"2021X","303","265",2021-08-05,"0180"
"Algérie, NAT, 2021X 004552, 057","Algérie","NAT","2021X004552",57,"2021X","004","552",2021-08-05,"0180"
"Maroc, NAT, 2021X 000472, 067","Maroc","NAT","2021X000472",67,"2021X","000","472",2021-08-05,"0180"
"72100, EFF, 2021X 000472, 067","France","EFF","2021X000472",67,"2021X","000","472",2021-08-05,"0180"
"92250, EFF, 2020X 033172, 092","France","EFF","2020X033172",92,"2020X","033","172",2021-08-05,"0180"
"Algérie, NAT, 2020X 034320, 092","Algérie","NAT","2020X034320",92,"2020X","034","320",2021-08-05,"0180"
"Maroc, NAT, 2021X 006294, 075","Maroc","NAT","2021X006294",75,"2021X","006","294",2021-08-05,"0180"
"Algérie, NAT, 2021X 005403, 075","Algérie","NAT","2021X005403",75,"2021X","005","403",2021-08-05,"0180"
"Maroc, NAT, 2020X 028566, 006","Maroc","NAT","2020X028566",6,"2020X","028","566",2021-08-05,"0180"
"Algérie, NAT, 2020X 024919, 078","Algérie","NAT","2020X024919",78,"2020X","024","919",2021-08-05,"0180"
"Algérie, NAT, 2020X 035163, 071","Algérie","NAT","2020X035163",71,"2020X","035","163",2021-08-05,"0180"
